Plant Name,Unit Name,ORISPL (Plant Code),GATS Unit ID,PJM Unit?,State,County,Balancing Authority,Nameplate,Date Online,Primary Fuel Type,Secondary,Tertiary,Quaternary,Fifth,Sixth,Seventh,Eighth,New Jersey,Maryland,Pennsylvania,District of Columbia,Delaware,Illinois,Ohio,Virginia,EFEC Eligible
"Aggarwal, Vineet Residence",Unit # 1,,NON161112,,VA,Loudoun County,PJM Interconnection,0.00837,12/1/16,SUN,,,,,,,,,,PA-461767-NSTI-I,,,,,VA-112671-SUN,
Agrivation Acres,AgrivationAcres-VA 101.97kW AgRf,,NON259367,,VA,Rockingham County,PJM Interconnection,0.10197,2/1/19,SUN,,,,,,,,,,,,,,,VA-204711-SUN,
Ahdoot-Samantha-VA-PV-2.45KW Residence,Ahdoot-Samantha-VA-PV-2.45KW Residence,,NON47342,,VA,Alexandria County,PJM Interconnection,0.00245,8/1/10,SUN,,,,,,,,,,PA-46410-NSTI-I,DC-102142-SUN-I,,,,,
Ahdoot-Samantha-VA-PV-5.88kW Residence,Ahdoot-Samantha-VA-PV-5.88kW Residence,,NON120450,,VA,Rappahannock County,PJM Interconnection,0.00588,1/1/15,SUN,,,,,,,,,,PA-461365-NSTI-I,,,,,VA-075041-SUN,
Aifer-Meservey Residence,Unit # 1,,NON41546,,VA,Arlington County,PJM Interconnection,0.0027,2/1/10,SUN,,,,,,,,,,PA-46176-NSTI-I,DC-10627-SUN-I,,,,,
Airhart-John-VA-PV-7.6kw Residence,Airhart-John-VA-PV-7.6kw Residence,,NON177783,,VA,Fairfax County,PJM Interconnection,0.00825,9/1/16,SUN,,,,,,,,,,PA-461873-NSTI-I,,,,,,
Akhras-Hani-VA-PV-5.85KW Residence,Akhras-Hani-VA-PV-5.85KW Residence,,NON45883,,VA,Fairfax County,PJM Interconnection,0.00585,6/1/10,SUN,,,,,,,,,,PA-46211-NSTI-I,DC-101512-SUN-I,,,,,
"AKM Investments, LLC","AKM Investments, LLC",,NON204024,,VA,Nottoway County,PJM Interconnection,0.02184,8/1/16,SUN,,,,,,,,,,PA-462068-NSTI-I,,,,,VA-155373-SUN,
Alba -Anne-VA-PV-8.74KW Residence,Alba -Anne-VA-PV-8.74KW Residence,,NON47345,,VA,Loudoun County,PJM Interconnection,0.00874,6/1/10,SUN,,,,,,,,,,PA-46449-NSTI-I,DC-102141-SUN-I,,,,,
Alba -Anne-VA-ST-2.7KW Residence,Alba -Anne-VA-ST-2.7KW Residence,,NON45901,,VA,Loudoun County,PJM Interconnection,0.0027,6/1/10,STH,,,,,,,,,,,DC-101546-STH-I,,,,,
Albemarle High School,Albemarle High School,,NON142801,,VA,Albemarle County,PJM Interconnection,0.1242,9/1/16,SUN,,,,,,,,,,PA-461698-NSTI-I,,,,,VA-095887-SUN,
Albert-Ryan-VA-PV-7.521kW Residence,Albert-Ryan-VA-PV-7.521kW Residence,,NON95169,,VA,Arlington County,PJM Interconnection,0.00752,10/1/14,SUN,,,,,,,,,,PA-46927-NSTI-I,,,,,,
Alcorn -Jeremy-VA-PV-3.5kW Residence,Alcorn -Jeremy-VA-PV-3.5kW Residence,,NON92981,,VA,Alexandria County,PJM Interconnection,0.0035,9/1/14,SUN,,,,,,,,,,PA-46910-NSTI-I,,,,,VA-049801-SUN,
Alcorn-Elizabeth-VA-PV-9.38kw Residence,Alcorn-Elizabeth-VA-PV-9.38kw Residence,,NON220013,,VA,Greene County,PJM Interconnection,0.00938,1/1/17,SUN,,,,,,,,,,PA-462097-NSTI-I,,,,,,
Alexiou-Michael -VA-PV-17.64kW Residence,Alexiou-Michael -VA-PV-17.64kW Residence,,NON108597,,VA,Rockingham County,PJM Interconnection,0.01764,5/1/15,SUN,,,,,,,,,,PA-461155-NSTI-I,,,,,VA-065075-SUN,
Alger-Amanda-VA-PV-6.72kw Residence,Alger-Amanda-VA-PV-6.72kw Residence,,NON165997,,VA,Albemarle County,PJM Interconnection,0.00672,12/1/16,SUN,,,,,,,,,,PA-461789-NSTI-I,,,,,,
Algoso -William -VA-PV-9.156kw Residence,Algoso -William -VA-PV-9.156kw Residence,,NON124561,,VA,Arlington County,PJM Interconnection,0.00916,2/1/16,SUN,,,,,,,,,,PA-461437-NSTI-I,,,,,,
